creator_id,creator_name,followers,likes,comments,shares,reach,impressions,engagement_rate,posts,niche,authenticity_score,growth_score,brand_match_score,ratefluencer_score,fake_account,tier
28,darianalvarez,106359,8391,448,159,172975,420857,6.398505369611401,9877,fitness,100,90,100.0,96.5,0,Elite
29,thecurveslayer,108845,5408,171,95,185585,346557,5.742006685086208,1563,fashion,100,90,100.0,96.5,0,Elite
30,luciaperaldomatton,106397,11195,555,375,128721,287542,8.756278773783754,2942,travel,100,90,100.0,96.5,0,Elite
31,tatttoo_today,282080,17068,433,131,270722,526401,7.444017170849482,4086,fitness,100,90,100.0,96.5,0,Elite
32,stylemintd,138213,10981,656,234,138447,321760,7.210530754836631,1663,fashion,100,90,100.0,96.5,0,Elite
33,alessandrosicuroofficial,105128,6806,379,199,140379,229049,6.40580574753829,7761,fashion,100,90,100.0,96.5,0,Elite
34,jillcoopersuperjump,116090,7972,296,176,113551,229079,8.062022247996222,3699,fitness,100,90,100.0,96.5,0,Elite
35,roccodispirito,115312,6469,205,73,145107,265244,7.610546013659247,1352,food,100,90,100.0,96.5,0,Elite
36,3wasschi,114907,9933,419,230,110839,172239,10.332565561478416,5320,fashion,100,90,100.0,96.5,0,Elite
37,tamumcpherson,205809,20008,515,165,404751,850565,9.072851887655869,8092,fashion,100,90,100.0,96.5,0,Elite
38,victoriahearn,100102,7875,557,239,189588,334499,8.864570676296026,2106,fashion,100,90,100.0,96.5,0,Elite
39,asmileplease,107492,5111,394,259,158241,318613,6.461864332288007,1123,fashion,100,90,100.0,96.5,0,Elite
40,thirsty,165225,13293,1044,665,282454,532984,9.23555627142343,2348,food,100,90,100.0,96.5,0,Elite
41,carolinehaddad,144940,9827,272,143,142068,290627,7.14716647608176,2338,fashion,100,90,100.0,96.5,0,Elite
42,zinafashionvibe,170967,13982,371,194,208164,399214,7.19855103117373,4103,fashion,100,90,100.0,96.5,0,Elite
43,josepalbert,107916,6713,178,106,191058,230191,8.286637375233381,1267,travel,100,90,100.0,96.5,0,Elite
44,djyoungchow,116187,11263,826,531,118176,169396,9.772067902028702,4591,fashion,100,90,100.0,96.5,0,Elite
45,iikonn,294356,29577,1987,705,316719,735381,10.137877678826843,8533,beauty,100,90,100.0,96.5,0,Elite
46,__taylordean,114099,5897,156,54,219354,320704,5.55646425150996,1694,food,100,90,100.0,96.5,0,Elite
47,gabrielacapone,108279,7039,149,84,184511,364736,6.421301510093016,1436,fashion,100,90,100.0,96.5,0,Elite
48,jeon.han_na,103309,8871,221,114,199854,443071,7.569300340040463,3166,food,100,90,100.0,96.5,0,Elite
49,erikagentille,213967,19932,1526,995,418001,861296,7.9257336534600675,3063,food,100,90,100.0,96.5,0,Elite
50,courtneyy_riiggs,100004,5374,316,120,124006,304553,4.867077976747592,2430,fitness,100,90,100.0,96.5,0,Elite
51,timonthegram,105483,6705,422,275,110714,240309,9.065761281852744,1245,fashion,100,90,100.0,96.5,0,Elite
52,therubinrose,101125,6470,162,76,154574,313735,6.368950767563165,1096,fashion,100,90,100.0,96.5,0,Elite
53,vallyfacciolo,101633,7488,177,90,165055,412323,7.941883471626634,1923,fashion,100,90,100.0,96.5,0,Elite
54,lexiconofstyle,105837,6207,488,198,88237,163557,7.706319989703287,2532,fashion,100,90,100.0,96.5,0,Elite
55,celineaagaard_,168534,15453,899,475,142794,305437,7.66498266273484,6169,fashion,100,90,100.0,96.5,0,Elite
56,54artistry,197998,17313,1196,557,297605,435963,8.084359924630478,3532,beauty,100,90,100.0,96.5,0,Elite
57,alessia_siena,154998,12103,432,184,217680,362569,7.393374485400246,4545,fashion,100,90,100.0,96.5,0,Elite
58,francesca,143110,10898,226,94,211185,353140,5.99442830923869,4071,fashion,100,90,100.0,96.5,0,Elite
59,natgeorgala,145525,11613,880,336,241100,368290,9.81905991101602,4510,fashion,100,90,100.0,96.5,0,Elite
60,gloriabombarda,195227,16577,1149,407,250653,402936,7.97732461103356,4762,travel,100,90,100.0,96.5,0,Elite
61,thesecretstop,119538,9616,411,189,209529,510805,8.37175074337256,1953,fashion,100,90,100.0,96.5,0,Elite
62,andreaveresovaofficial,231559,9434,504,352,195442,429940,4.661656811255676,3361,fashion,100,90,100.0,96.5,0,Elite
63,fabmusediana,164339,10314,692,355,197549,441879,6.542515420964742,6605,fashion,100,90,100.0,96.5,0,Elite
64,soosoo_padam,107552,10956,716,228,148661,284457,10.55426120529996,1443,food,100,90,100.0,96.5,0,Elite
65,lafoodie,125152,6762,270,170,202048,246437,7.144058369188459,3147,food,100,90,100.0,96.5,0,Elite
66,emmaaemeliamouatxo,137655,9547,211,79,243382,292631,9.489691252735884,4233,fashion,100,90,100.0,96.5,0,Elite
67,lefashionfetish,123707,7403,353,128,173865,312398,6.334757742285678,1915,fashion,100,90,100.0,96.5,0,Elite
68,beautifulmorgan,100768,10469,572,261,118367,239633,10.13529136426983,2366,fashion,100,90,100.0,96.5,0,Elite
69,hizokucycles,210389,14212,658,435,187631,265815,7.766973745085425,15727,travel,100,90,100.0,96.5,0,Elite
70,evaacatherine,102296,7170,519,301,119542,152403,7.940902380894672,2613,fashion,100,90,100.0,96.5,0,Elite
71,kayleighjcouture,110384,6568,358,187,190973,234138,8.32721262709574,3145,fashion,100,90,100.0,96.5,0,Elite
72,germanameli,148507,16576,1127,445,288654,644375,8.935801783416327,1956,fashion,100,90,100.0,96.5,0,Elite
73,lidiabedman,121547,8797,480,285,159927,208121,6.152510093350792,3535,fashion,100,90,100.0,96.5,0,Elite
74,julesjetsets,132677,10853,492,338,258952,584389,7.018892066114683,1506,travel,100,90,100.0,96.5,0,Elite
75,giorgiadibasilio,135075,11372,259,94,215904,419854,8.34632952627243,2696,fashion,100,90,100.0,96.5,0,Elite
76,emilygellis,154849,6495,179,89,190393,283697,5.916406750110553,5549,fashion,100,90,100.0,96.5,0,Elite
77,iamrachelmccord,126719,16093,735,508,150557,322213,10.03757353523643,2360,fashion,100,90,100.0,96.5,0,Elite
78,futilish,108222,15832,444,206,119596,261089,11.51724381552081,7481,fashion,100,90,100.0,96.5,0,Elite
79,mmmargherita,141262,10295,657,287,153854,216931,7.535430145053994,3638,fashion,100,90,100.0,96.5,0,Elite
80,mrscotteddy,266351,18503,1388,803,361057,604475,6.414926904966683,3193,travel,100,90,100.0,96.5,0,Elite
81,endolpin79,131799,12831,690,432,180966,224227,10.249794645924638,2052,food,100,90,100.0,96.5,0,Elite
82,thelagirl,120945,8501,662,362,229229,359147,10.008421707791712,2628,travel,100,90,100.0,96.5,0,Elite
83,melissamat_,131028,9962,259,174,111425,205881,9.62112512925136,2518,beauty,100,90,100.0,96.5,0,Elite
84,victorialamala,113033,11592,664,379,210514,323482,9.73229442731204,2541,fashion,100,90,100.0,96.5,0,Elite
85,womenwithdrive,166810,16535,1146,421,161716,207694,7.830478808098356,5245,fashion,100,90,100.0,96.5,0,Elite
86,christineabramo,105223,9422,309,202,156554,290480,8.066019366911938,1343,fashion,100,90,100.0,96.5,0,Elite
87,vanespada,103913,4320,182,66,172566,314817,4.876895893379489,1316,beauty,100,90,100.0,96.5,0,Elite
88,itsbrittcherry,109153,7374,577,332,127662,281914,8.623064439459675,1523,fashion,100,90,100.0,96.5,0,Elite
89,thehappygardeninglife,141501,15209,1149,663,180545,350344,9.235409282064897,4200,food,100,90,100.0,96.5,0,Elite
90,dresslikeamum,120189,13463,274,110,110933,245709,9.706013360140156,3465,fashion,100,90,100.0,96.5,0,Elite
91,christiangertsen,132836,10535,560,266,127022,168692,8.46191086795,1748,travel,100,90,100.0,96.5,0,Elite
92,lindsayalbanese,100143,8811,427,284,103066,174823,8.60165440610446,3195,fashion,100,90,100.0,96.5,0,Elite
93,gizzierskine,148064,11190,254,109,264764,654177,9.380883144828124,8038,food,100,90,100.0,96.5,0,Elite
94,greendohdo,109713,5851,361,148,174531,309035,7.4093134958597,1160,beauty,100,90,100.0,96.5,0,Elite
95,oliveyouwhole,105633,9251,238,108,87696,207603,8.399244751672462,1066,food,100,90,100.0,96.5,0,Elite
96,glamourimblog,103351,5390,342,206,204608,281467,6.701781101796303,5020,fashion,100,90,100.0,96.5,0,Elite
97,women_on_bikes,130078,17623,734,375,142173,211201,11.153070986788611,3113,travel,100,90,100.0,96.5,0,Elite
98,lovindubai,132470,6881,355,180,144508,218575,6.529597546366739,4042,travel,100,90,100.0,96.5,0,Elite
99,dariuscooks,224099,21485,1651,1153,396200,782321,8.948304754050266,10138,food,100,90,100.0,96.5,0,Elite
100,thebridaltheory,147314,17903,762,476,210483,521345,9.487238793305176,2969,fashion,100,90,100.0,96.5,0,Elite
101,thatswhatsheeats,131197,12760,524,219,192494,262021,10.164551411731765,3874,food,100,90,100.0,96.5,0,Elite
102,9494_ho,130416,10093,611,413,252864,497883,7.715613809304814,1329,lifestyle,100,90,95.0,95.0,0,Elite
103,decor8,108711,12191,375,242,109279,200464,9.567312855238992,7205,interior,100,90,95.0,95.0,0,Elite
104,journeykayofficial,113182,6193,210,102,152119,328272,7.523796499144691,2085,family,100,90,95.0,95.0,0,Elite
105,etienneboulay22,134694,12108,260,107,154348,300402,9.8729695757896,2377,family,100,90,95.0,95.0,0,Elite
106,raqcsworld,125625,12806,389,187,161251,352550,8.996698631061161,12097,other,100,90,95.0,95.0,0,Elite
107,wallacethegolden,104177,7871,575,244,119856,245233,10.035887384222056,1367,pet,100,90,95.0,95.0,0,Elite
108,chowpuppies,193015,15370,722,228,281139,363870,8.93143037418028,5793,pet,100,90,95.0,95.0,0,Elite
109,chelsea_briggs,100662,6627,324,98,94316,117143,8.60134662779764,2171,family,100,90,95.0,95.0,0,Elite
110,avacapra,152821,6838,239,134,137273,215314,6.130209171898841,2348,family,100,90,95.0,95.0,0,Elite
111,gomithefrenchie,100330,6351,455,242,156721,234667,6.825190533877614,1464,pet,100,90,95.0,95.0,0,Elite
112,ferjabur_,156855,18483,640,333,160711,265973,9.403030778224696,2358,family,100,90,95.0,95.0,0,Elite
113,raveready,103979,6539,247,151,199965,301215,8.140165116854973,2927,family,100,90,95.0,95.0,0,Elite
114,danilofaro,189385,14508,1007,584,365270,510092,8.557646479324111,12740,family,100,90,95.0,95.0,0,Elite
115,tinkerbellethedog,191271,15528,812,399,291404,547737,11.359394726721275,3046,pet,100,90,95.0,95.0,0,Elite
116,malloryonthemoon,104501,6826,252,150,155471,261071,8.080814415544383,3111,family,100,90,95.0,95.0,0,Elite
117,smilejoanna22,116965,4531,197,70,233513,371847,4.457251735329618,2280,comedy,100,90,95.0,95.0,0,Elite
118,helenskelton,103026,8907,388,262,171561,278380,9.16339946591092,1522,family,100,90,95.0,95.0,0,Elite
119,joyvilla,149101,13172,602,341,155057,285280,9.151449019686469,4746,wellness,100,90,95.0,95.0,0,Elite
120,elizableu,111094,8175,355,209,89260,118206,8.227099571157593,1325,comedy,100,90,95.0,95.0,0,Elite
121,rodeowrecks,196419,16497,1031,703,290040,663311,8.46073997815633,6247,finance,100,90,95.0,95.0,0,Elite
122,macsetups,111079,5895,416,230,220616,416094,7.422918016259201,1715,interior,100,90,95.0,95.0,0,Elite
123,theparentologist,106061,7365,228,108,168969,247697,7.0674151349888525,1114,family,100,90,95.0,95.0,0,Elite
124,ye_bin_mom,102871,9534,384,180,135465,186487,10.334126707460662,1098,family,100,90,95.0,95.0,0,Elite
125,dinajuve,279550,29371,797,366,511967,910865,8.887489461464016,2950,comedy,100,90,95.0,95.0,0,Elite
126,dlskdgml01,109488,6591,273,188,99408,126683,6.6049688272874585,1848,lifestyle,100,90,95.0,95.0,0,Elite
127,black_mhk,134195,13362,921,283,199605,314798,8.122769999235588,1487,lifestyle,100,90,95.0,95.0,0,Elite
128,addicted_to_bargains,145326,8793,593,266,237095,355131,5.512681081954988,4854,interior,100,90,95.0,95.0,0,Elite
129,_whiteafterlaborday,238466,26228,888,467,368453,602527,10.549842849367485,2526,interior,100,90,95.0,95.0,0,Elite
130,tatertotsandjello,105923,7331,439,211,158738,312389,7.357968450628281,3103,interior,100,90,95.0,95.0,0,Elite
131,tassiareis_,108090,5473,327,220,91287,184225,6.946187712844012,3278,finance,100,90,95.0,95.0,0,Elite
132,thevixensworld,200008,19131,1049,571,379397,512980,10.673301017919478,2422,lifestyle,100,90,95.0,95.0,0,Elite
133,nerdnews,183640,9171,687,432,318277,566539,5.9249951565227645,3577,other,100,90,95.0,95.0,0,Elite
134,roteirobaby,115531,10038,609,374,180040,346523,10.252994248218798,9521,wellness,100,90,95.0,95.0,0,Elite
135,gradybrannan,140903,13133,1036,600,141031,192580,7.177531548745504,7844,education,100,90,95.0,95.0,0,Elite
136,lovedbyhannahandeli,211289,17982,595,297,407476,1011087,7.671809976237569,9267,family,100,90,95.0,95.0,0,Elite
137,oestadoma,134066,8805,241,110,177092,252961,8.768964317031402,4187,comedy,100,90,95.0,95.0,0,Elite
138,tni.polri.solid,192461,12704,928,340,375195,856654,6.596439990905925,4311,finance,100,90,95.0,95.0,0,Elite
139,christopherpoindexter,348855,24538,653,218,601870,869780,9.453121297154093,6466,technology,100,90,95.0,95.0,0,Elite
140,officialsteevane,148176,13666,667,435,244414,477997,7.532680588450624,9012,finance,100,90,95.0,95.0,0,Elite
141,djgregstreet,209828,24139,1540,687,204014,361837,9.175334748331323,19533,gaming,100,90,95.0,95.0,0,Elite
142,21ninety,144151,15414,989,526,224219,294989,10.120149062236187,3145,lifestyle,100,90,95.0,95.0,0,Elite
143,gutstadt,102747,7386,478,165,128702,207208,7.695821704718219,1988,family,100,90,95.0,95.0,0,Elite
144,veenacrownholm,140806,12562,525,187,179278,399336,10.36874155904311,1518,family,100,90,95.0,95.0,0,Elite
145,cauegarcia,108049,9305,525,179,124282,228217,9.59971607499156,2201,finance,100,90,95.0,95.0,0,Elite
146,sophie.jaffe,114509,5853,434,213,160360,318695,7.224822533438957,7105,family,100,90,95.0,95.0,0,Elite
147,mother_pukka,184900,13558,571,391,296686,523684,7.768157441740474,2391,other,100,90,95.0,95.0,0,Elite
148,theannakaiser,118935,14136,860,440,178264,341470,10.018734874585288,2088,finance,100,90,95.0,95.0,0,Elite
149,yeezyglobalchat,117818,7992,240,89,114875,234292,7.012656619373324,2596,lifestyle,100,90,95.0,95.0,0,Elite
150,mbahrain,349251,31972,643,338,639450,1007288,7.454959047653835,27759,lifestyle,100,90,95.0,95.0,0,Elite
151,tobyandroo,116611,8866,670,457,129570,280712,7.576290610301021,2449,family,100,90,95.0,95.0,0,Elite
152,oscarjameshair,128854,11283,877,413,136581,170512,9.496033131738988,3679,entertainment,100,90,95.0,95.0,0,Elite
153,daniellepioliart,152724,17829,1168,776,166615,310211,9.397640779213678,2024,wellness,100,90,95.0,95.0,0,Elite
154,wattsstix,100929,6684,236,109,181746,446980,5.66515348409259,1569,finance,100,90,95.0,95.0,0,Elite
155,pencilandpaperco,109816,8224,606,203,166126,271004,9.436060881111134,2749,interior,100,90,95.0,95.0,0,Elite
156,the_laughing_ninja,101131,10279,235,152,161569,227281,9.309646499542312,5759,lifestyle,100,90,95.0,95.0,0,Elite
157,savagedump,140321,17323,1181,807,194679,346568,10.021925569622615,1515,entertainment,100,90,95.0,95.0,0,Elite
158,pilarscratch,103125,8645,586,216,151414,345094,9.882682624835724,1228,wellness,100,90,95.0,95.0,0,Elite
159,dkdkdkfaod,142244,12955,903,334,211461,280971,7.574488175369554,1626,music,100,90,95.0,95.0,0,Elite
160,hayleywi11iams,124308,7978,558,229,172063,392944,5.20451918856296,1587,education,100,90,95.0,95.0,0,Elite
161,bae.sajang,145467,6004,450,248,207684,488065,5.542763590646272,2409,education,100,90,95.0,95.0,0,Elite
162,_jacksjournal,18144,1270,59,32,25628,40057,9.42965569176412,1601,fashion,100,85,100.0,94.75,0,Elite
163,ruxandrarizea,17232,1404,46,19,33619,82609,9.210237820681373,1359,fashion,100,85,100.0,94.75,0,Elite
164,olallaagar,31675,2862,177,59,27197,38192,8.956281906213373,1647,fashion,100,85,100.0,94.75,0,Elite
165,ioanna_samara,34021,2635,179,100,65593,140606,6.648422077465634,2157,fashion,100,85,100.0,94.75,0,Elite
166,gour.mode,44773,4830,289,187,69127,157673,8.554686166843199,2729,fashion,100,85,100.0,94.75,0,Elite
167,advicefroma20something,41455,2400,62,20,52429,115407,8.14671349809793,1528,fashion,100,85,100.0,94.75,0,Elite
168,by_irena,29477,1956,48,24,34564,43175,6.064834136427778,1049,fashion,100,85,100.0,94.75,0,Elite
169,miisspinkie,20488,1244,78,27,25970,61931,6.86630283147006,1041,fashion,100,85,100.0,94.75,0,Elite
170,luciaavfdez,33846,2352,97,62,27674,39235,5.898294835748462,1628,fashion,100,85,100.0,94.75,0,Elite
171,playgroundaroundthecorner,17986,1295,45,19,26403,60039,8.613314465893684,1413,travel,100,85,100.0,94.75,0,Elite
172,pretttylittlelayers,23390,2584,203,141,26049,55365,9.958581265376264,1115,fashion,100,85,100.0,94.75,0,Elite
173,vivianeaudi,25257,2000,118,45,36105,75552,7.462742049194461,1246,fashion,100,85,100.0,94.75,0,Elite
174,nikolaischirmer,27880,1532,97,42,51041,115596,5.004155031491504,1127,travel,100,85,100.0,94.75,0,Elite
175,florescaisme,25323,1362,33,15,29777,58802,7.369961314072091,1281,fashion,100,85,100.0,94.75,0,Elite
176,stylelixir,22829,2038,100,45,44368,108979,7.181626259771509,1226,fashion,100,85,100.0,94.75,0,Elite
177,algeria.now,49495,3377,197,134,47240,60321,5.9782961620217066,3690,travel,100,85,100.0,94.75,0,Elite
178,danandmoore,69027,5442,406,215,91228,194474,6.562180980661523,1888,travel,100,85,100.0,94.75,0,Elite
179,dreamy_traveller,75409,7718,477,219,94109,222879,9.835097188980615,3732,travel,100,85,100.0,94.75,0,Elite
180,michaelaefford,29522,2534,169,104,39912,91469,8.336091573538344,1002,fashion,100,85,100.0,94.75,0,Elite
181,fashionablyjess,53691,4200,183,65,56727,121806,9.487196789632812,1796,fashion,100,85,100.0,94.75,0,Elite
182,sassyinthecityblog,27868,2753,97,48,43574,87594,10.87288622251943,1078,fashion,100,85,100.0,94.75,0,Elite
183,naaomiross,58065,3231,133,65,71626,119438,5.384050918672168,1094,fashion,100,85,100.0,94.75,0,Elite
184,katcarney,28240,1988,43,26,49772,102537,7.718314190345558,1398,travel,100,85,100.0,94.75,0,Elite
185,ladyofthemanor77,28959,3749,204,102,43873,90294,10.934048123441778,1102,fashion,100,85,100.0,94.75,0,Elite
186,highhatgirls,16460,1428,77,30,16237,22792,8.472425916620193,1376,fashion,100,85,100.0,94.75,0,Elite
187,browngirlstyles,28551,2500,187,104,50239,104359,8.99978367373845,1144,fashion,100,85,100.0,94.75,0,Elite
188,feelyah84,15428,995,31,18,21528,43080,6.657533257705307,1197,fashion,100,85,100.0,94.75,0,Elite
189,cangiesleben,21081,1336,69,37,22918,36275,7.532986842845855,1393,fashion,100,85,100.0,94.75,0,Elite
190,shayna_apopofcolour,14843,793,27,12,24157,32979,6.759978497927808,1477,fashion,100,85,100.0,94.75,0,Elite
191,stjohnnnn,39736,2926,139,73,55524,132371,8.329898444969448,1340,beauty,100,85,100.0,94.75,0,Elite
192,dianakmir,16792,1341,32,11,19497,34926,7.696247284911365,1437,fashion,100,85,100.0,94.75,0,Elite
193,whinniewilliams,20863,2047,138,63,21461,26871,8.733268331648732,1538,fashion,100,85,100.0,94.75,0,Elite
194,travellust_nl,23358,2604,120,40,21193,44993,10.308450461263782,1007,travel,100,85,100.0,94.75,0,Elite
195,lindsay.morse,13367,1656,47,19,13748,19733,9.848125091381966,1239,fashion,100,85,100.0,94.75,0,Elite
196,brooke.ellis_,29748,3269,131,63,56759,115256,10.764797241440489,1420,beauty,100,85,100.0,94.75,0,Elite
197,imvictoriabrown,21872,1772,57,31,36195,62629,8.325093282813969,1756,fashion,100,85,100.0,94.75,0,Elite
198,karinecrodrigues,37788,2494,102,31,39578,88986,6.923869604074833,2650,fashion,100,85,100.0,94.75,0,Elite
199,oliwiapakosz,29201,2704,211,134,36583,85430,9.09964794243352,1163,fashion,100,85,100.0,94.75,0,Elite
200,siguemiestilo,60963,4020,147,74,111325,191022,7.032930013074395,2980,fashion,100,85,100.0,94.75,0,Elite
201,anatanaka,68840,7316,533,326,72891,147365,9.942343352837575,3330,fashion,100,85,100.0,94.75,0,Elite
202,hi_lovely,50068,2381,183,80,99175,227847,5.790832484824277,1681,fashion,100,85,100.0,94.75,0,Elite
203,run_and_the_city,17930,2123,151,99,33488,58866,10.238714919228745,1390,fashion,100,85,100.0,94.75,0,Elite
204,alessiodandi,32549,3800,217,136,42147,104377,9.381674909765064,1799,travel,100,85,100.0,94.75,0,Elite
205,theaussieflashpacker,28182,2628,164,113,31026,73391,7.726997824404792,1543,travel,100,85,100.0,94.75,0,Elite
206,the_eskapee,15137,1672,55,32,25375,49464,9.099051739040828,1275,travel,100,85,100.0,94.75,0,Elite
207,josefinapolanco,49482,6469,448,253,84708,159754,11.356383938411806,1207,travel,100,85,100.0,94.75,0,Elite
208,nicoles_outfit_inspirations,77478,6389,342,185,135848,329667,8.357466030247283,1951,fashion,100,85,100.0,94.75,0,Elite
209,boymominjeans,48896,2813,63,36,77070,172517,6.948643627938795,1176,fashion,100,85,100.0,94.75,0,Elite
210,gualtierivic_,15705,1302,56,31,14074,27083,6.80644239771113,1086,travel,100,85,100.0,94.75,0,Elite
211,michelleschro,26104,3032,149,99,29305,73086,9.757510849892826,1406,travel,100,85,100.0,94.75,0,Elite
212,whatwouldkikiwear,41797,1701,113,59,73752,162101,5.76903418667959,1352,fashion,100,85,100.0,94.75,0,Elite
213,justinavanessa,52899,5469,201,74,86739,191612,8.220430818345575,1198,fashion,100,85,100.0,94.75,0,Elite
214,magicandwishes,24575,2195,171,68,21279,36561,7.003672878976785,1354,fashion,100,85,100.0,94.75,0,Elite
215,harrietstewart,27599,3457,234,72,44094,58556,10.034522865604004,1988,fashion,100,85,100.0,94.75,0,Elite
216,fitashionn,43874,3224,149,85,53520,131450,8.800324147994575,1098,fashion,100,85,100.0,94.75,0,Elite
217,theblushblonde,11930,715,16,8,19780,40927,5.811296752770995,1132,fashion,100,85,100.0,94.75,0,Elite
218,mikaatbhc,72007,6123,262,107,98299,196146,7.792925953106575,1231,beauty,100,85,100.0,94.75,0,Elite
219,colbykline,14886,857,43,13,28603,50256,7.578366583197156,1427,fashion,100,85,100.0,94.75,0,Elite
220,suzannebrummel,50052,4677,279,112,78490,141394,8.475791877768414,1575,fashion,100,85,100.0,94.75,0,Elite
221,kristjaana,33935,1860,116,65,30220,51667,7.246645540313988,1513,fashion,100,85,100.0,94.75,0,Elite
222,kelleyyny,14226,1002,72,48,22250,52163,8.831933327764242,1033,travel,100,85,100.0,94.75,0,Elite
223,broganwest,14197,785,28,15,19473,27289,7.8012907765490205,1178,fashion,100,85,100.0,94.75,0,Elite
224,lapetillante_ju,32642,2790,163,106,44451,61259,10.097583716702198,1405,fashion,100,85,100.0,94.75,0,Elite
225,millennialfashionista,30342,3090,69,25,51994,102272,9.431184353262308,1084,fashion,100,85,100.0,94.75,0,Elite
226,talashatara,18153,1246,90,45,25222,33366,8.640800215804461,1457,fashion,100,85,100.0,94.75,0,Elite
227,fleurdille,31597,1829,38,14,31066,66732,6.86546538983751,2630,fashion,100,85,100.0,94.75,0,Elite
228,whinetowine,53863,5017,372,258,86276,144955,10.193141697844316,1088,fashion,100,85,100.0,94.75,0,Elite
229,missmarypowers,31127,2145,124,60,59964,131644,8.450981929480117,1479,fashion,100,85,100.0,94.75,0,Elite
230,thefashion_lift,68008,2358,48,31,57529,132876,4.82731735752653,2494,fashion,100,85,100.0,94.75,0,Elite
231,angelalamarie_,65617,5579,370,180,92945,139879,7.188010534865995,1685,beauty,100,85,100.0,94.75,0,Elite
232,beautybyjulia,93026,5607,122,69,144373,200866,8.351413688925312,3049,beauty,100,85,100.0,94.75,0,Elite
233,5teffy,33499,1535,108,69,34073,62069,5.605819032175836,1010,fashion,100,85,100.0,94.75,0,Elite
234,carletoneckhardt,13665,1408,109,40,16422,35759,9.624534439128766,1091,fashion,100,85,100.0,94.75,0,Elite
235,passosdajeane,28614,2372,187,83,43343,74797,7.148977697870844,2084,fashion,100,85,100.0,94.75,0,Elite
236,immisterpaul,65625,5159,200,109,85957,142547,8.552638007055009,1090,fashion,100,85,100.0,94.75,0,Elite
237,mielsobrehojuelass,39690,3644,254,168,68467,166974,8.540611517839384,1256,fashion,100,85,100.0,94.75,0,Elite
238,angiesilvy,38458,3083,191,99,33326,41324,8.832919637438794,2503,fashion,100,85,100.0,94.75,0,Elite
