creator_id,tier,niche,followers,likes,comments,shares,saves,reach,impressions,engagement_rate,comment_ratio,share_ratio,save_ratio,audience_quality,posting_consistency,posts_per_week,growth_rate,authenticity_score,growth_score,fake_account
34,Mid,Fashion,578007,34115,2442,1462,4001,1280756,2932710,9.07,0.0716,0.0429,0.1173,68.82,88.63,2,5.76,83.06,28.79,0
35,Nano,Food,9702,1028,8,10,18,11111,19841,10.04,0.0079,0.0095,0.0171,42.52,69.99,14,6.12,28.07,30.59,1
36,Nano,Gaming,5544,1046,69,74,83,9479,22176,14.82,0.0664,0.0711,0.0797,55.68,80.29,9,8.6,82.38,43.02,0
37,Micro,Fashion,29198,414,23,23,27,43431,103166,2.75,0.0545,0.0554,0.0653,85.2,52.78,4,2.2,86.49,10.98,0
38,Mid,Finance,563389,39630,1373,902,3403,746684,1099022,5.54,0.0346,0.0228,0.0859,89.82,67.56,11,9.88,69.06,49.4,0
39,Nano,Food,2906,223,12,16,16,5526,7869,11.25,0.0542,0.0738,0.0727,57.6,48.33,10,8.6,78.04,43.01,0
40,Nano,Fashion,5777,334,18,13,13,9047,18946,9.21,0.0531,0.0393,0.0383,76.72,61.36,8,7.03,76.7,35.16,0
41,Mid,Lifestyle,480975,14848,138,46,229,796628,1702133,2.98,0.0093,0.0031,0.0154,13.38,49.86,10,3.95,12.29,19.77,1
42,Micro,Gaming,48638,1477,46,58,72,62718,85027,3.46,0.0314,0.0393,0.049,76.63,54.55,1,5.79,65.82,28.93,0
43,Nano,Finance,7168,919,65,49,59,9371,22206,12.12,0.0711,0.0539,0.0641,73.98,75.05,2,9.3,88.68,46.51,0
44,Nano,Travel,2460,153,5,11,5,1803,3797,4.76,0.0339,0.0705,0.0346,74.39,91.05,8,4.41,75.3,22.04,0
45,Nano,Tech,8489,1299,104,68,95,18756,27508,11.59,0.0803,0.0521,0.0729,98.75,69.44,10,8.54,100.0,42.68,0
46,Micro,Fitness,46976,2819,190,65,170,44249,56744,6.12,0.0673,0.0231,0.0603,64.43,74.87,12,3.92,72.79,19.59,0
47,Nano,Fitness,6287,1031,88,27,110,12843,22232,14.82,0.0856,0.0264,0.1066,50.14,47.0,5,9.1,75.79,45.49,0
48,Nano,Travel,3560,694,61,22,36,6553,15598,14.99,0.0878,0.0312,0.0512,89.08,89.68,9,11.49,97.77,57.46,0
49,Mid,Education,577272,29198,1903,991,3240,802988,1530992,4.05,0.0652,0.0339,0.111,68.85,67.76,8,6.08,77.2,30.41,0
50,Micro,Tech,93122,7532,306,292,394,189885,236140,6.28,0.0406,0.0387,0.0524,81.0,72.01,6,4.81,72.42,24.03,0
51,Micro,Tech,53872,1923,113,128,60,95741,185275,3.62,0.0586,0.0663,0.0311,80.2,70.14,10,4.8,89.31,23.98,0
52,Nano,Lifestyle,7166,672,64,36,62,16915,35851,6.84,0.0952,0.0539,0.0927,75.29,76.69,10,5.43,100.0,27.14,0
53,Mid,Travel,820670,33671,1566,1008,1575,1811615,2956177,6.59,0.0465,0.0299,0.0468,55.21,90.43,6,10.81,59.84,54.06,0
54,Nano,Lifestyle,8112,983,9,4,7,16447,29405,11.68,0.0093,0.0041,0.0076,10.19,36.67,11,6.86,10.97,34.32,1
55,Nano,Food,2205,135,6,4,10,5415,9730,7.9,0.0454,0.0328,0.0764,51.69,58.69,4,5.27,58.38,26.37,0
56,Macro,Food,10427504,212672,12003,14928,17624,12818327,27280949,1.81,0.0564,0.0702,0.0829,89.99,60.96,2,5.01,94.27,25.03,0
57,Micro,Travel,48000,2733,134,202,212,102785,254147,4.54,0.0491,0.0738,0.0774,55.15,60.06,2,4.89,74.26,24.44,0
58,Micro,Education,65106,2059,76,71,196,145854,332443,4.28,0.037,0.0346,0.095,90.0,50.71,4,7.47,73.86,37.36,0
59,Mid,Food,745588,13054,34,82,118,1719929,3891644,3.33,0.0026,0.0062,0.009,10.52,24.28,4,3.88,8.45,19.41,1
60,Nano,Fashion,5491,1021,85,29,110,8661,20466,12.83,0.0835,0.0284,0.1082,77.6,66.17,1,8.68,89.05,43.42,0
61,Micro,Education,37856,1574,62,116,145,73052,165781,4.51,0.0393,0.074,0.0922,70.13,53.08,5,5.49,76.9,27.44,0
62,Nano,Lifestyle,6796,515,42,18,45,10804,21016,9.88,0.0813,0.035,0.087,55.33,48.4,1,9.1,78.8,45.52,0
63,Micro,Gaming,99563,8271,474,309,513,198557,314962,11.15,0.0573,0.0373,0.062,86.9,44.97,3,8.22,83.27,41.11,0
64,Macro,Fitness,10400725,736694,71361,21571,63429,16158849,26624917,5.26,0.0969,0.0293,0.0861,76.99,49.72,8,6.74,95.71,33.69,0
65,Micro,Education,44008,4183,205,232,261,38060,91059,7.96,0.0491,0.0554,0.0625,62.32,89.15,13,8.72,72.31,43.61,0
66,Micro,Education,30491,2271,224,169,200,59388,75249,6.55,0.0986,0.0742,0.0882,81.95,85.54,10,9.16,100.0,45.8,0
67,Nano,Fitness,5873,634,32,48,74,14093,25600,9.02,0.0508,0.0755,0.1174,78.4,94.93,14,8.71,87.24,43.53,0
68,Micro,Education,76150,1980,160,47,116,127253,283512,3.1,0.0807,0.0239,0.0584,56.03,44.62,9,3.26,75.56,16.31,0
69,Micro,Gaming,89273,12849,1230,873,1540,118847,261149,13.99,0.0957,0.0679,0.1198,93.5,41.28,13,9.6,100.0,48.01,0
70,Micro,Lifestyle,93691,5313,333,201,567,186257,366152,11.27,0.0627,0.0378,0.1068,66.82,71.35,1,7.82,76.11,39.09,0
71,Mid,Fitness,867950,36961,2632,2918,4050,1546198,3671976,5.61,0.0712,0.0789,0.1096,56.22,97.38,2,8.6,87.39,43.02,0
72,Micro,Music,87129,1546,151,113,175,217024,309490,3.18,0.0978,0.073,0.1135,59.32,86.78,10,8.09,100.0,40.43,0
73,Micro,Education,35425,1456,13,13,14,49740,77339,7.69,0.0091,0.0087,0.0097,28.54,51.15,13,5.89,21.42,29.47,1
74,Micro,Gaming,74772,8599,307,286,787,62587,144361,11.55,0.0357,0.0332,0.0915,68.63,55.59,8,8.85,62.12,44.24,0
75,Mid,Finance,626684,43695,3750,2600,4656,1417014,3005305,5.06,0.0858,0.0595,0.1066,83.9,73.94,11,7.24,100.0,36.18,0
76,Nano,Finance,1556,227,0,1,3,1814,2632,10.34,0.001,0.006,0.0154,10.21,61.0,13,5.33,7.41,26.63,1
77,Micro,Education,76672,3197,266,168,373,100852,203964,6.87,0.0833,0.0525,0.1167,81.7,72.4,14,8.53,98.23,42.63,0
78,Nano,Fitness,2265,159,14,13,14,3404,6950,12.23,0.0897,0.0794,0.0908,85.43,68.41,4,10.52,100.0,52.61,0
79,Mid,Fitness,842406,23680,1164,1890,1619,1274136,1799986,2.97,0.0492,0.0798,0.0684,74.43,86.22,7,5.19,85.74,25.97,0
80,Mid,Travel,605518,30399,2847,2172,3551,1252314,2222842,4.08,0.0937,0.0714,0.1168,93.4,97.79,11,8.68,100.0,43.41,0
81,Micro,Finance,29982,2631,257,82,285,62898,138515,9.02,0.0978,0.0311,0.1082,82.58,62.11,14,7.39,99.52,36.96,0
82,Mid,Lifestyle,338260,10686,833,490,513,536098,688067,5.05,0.078,0.0458,0.048,89.83,68.89,6,6.82,97.65,34.09,0
83,Nano,Fitness,3433,557,28,34,60,7222,9039,14.74,0.0504,0.0617,0.1074,53.62,63.55,6,8.48,70.53,42.41,0
84,Nano,Travel,4117,162,11,4,10,3128,4073,4.76,0.0662,0.0253,0.0616,85.12,73.58,6,7.32,83.26,36.6,0
85,Nano,Lifestyle,8014,487,4,1,9,6359,12106,5.35,0.0074,0.0013,0.0188,18.01,28.37,2,5.43,13.07,27.14,1
86,Micro,Tech,36630,1276,77,81,106,68517,124912,5.25,0.0607,0.0635,0.0834,89.19,68.85,3,7.68,93.99,38.4,0
87,Nano,Education,4638,159,1,1,2,7365,9618,6.57,0.0069,0.004,0.0113,27.35,22.18,3,3.36,18.31,16.81,1
88,Nano,Fitness,1352,168,1,2,0,3056,5967,14.73,0.0043,0.0099,0.0018,39.09,57.14,4,9.09,24.68,45.47,1
89,Nano,Gaming,6631,686,39,33,72,7456,16469,12.03,0.0569,0.0479,0.1052,82.75,99.53,4,10.77,84.19,53.84,0
90,Micro,Education,45133,1252,73,89,39,79395,157070,3.42,0.0579,0.0715,0.0308,83.13,45.72,4,4.79,91.98,23.97,0
91,Macro,Lifestyle,3854190,71902,4326,2511,6151,7601230,10772117,1.4,0.0602,0.0349,0.0855,58.49,71.19,4,6.56,69.8,32.79,0
92,Nano,Education,4568,276,9,14,32,3521,4784,7.86,0.034,0.0519,0.1143,93.41,52.35,6,5.11,79.27,25.54,0
93,Nano,Fitness,6178,679,21,27,80,10776,16492,9.27,0.0312,0.0394,0.1176,84.41,63.84,11,11.29,69.63,56.45,0
94,Nano,Tech,7527,344,27,16,37,7669,16108,7.71,0.0771,0.0466,0.1081,60.09,80.41,7,7.09,82.57,35.44,0
95,Macro,Gaming,16292361,121151,9482,7341,5986,30727293,52605854,0.52,0.0783,0.0606,0.0494,93.45,74.24,5,2.46,100.0,12.31,0
96,Nano,Music,1703,58,0,0,1,4030,7131,4.34,0.002,0.0069,0.0155,49.73,57.62,2,6.37,27.91,31.86,1
97,Mid,Fitness,985736,31515,1819,1945,2048,1486143,2242304,3.69,0.0577,0.0617,0.065,77.22,40.35,1,4.55,86.0,22.74,0
98,Micro,Lifestyle,86743,11402,1072,785,454,83983,158276,9.76,0.094,0.0688,0.0398,75.02,72.54,12,8.28,100.0,41.39,0
99,Micro,Travel,83770,8163,757,198,946,157358,266579,10.47,0.0928,0.0243,0.1159,85.77,71.27,4,8.62,96.56,43.08,0
100,Nano,Fashion,7012,716,52,45,39,10128,13758,12.58,0.0727,0.063,0.0545,65.36,88.18,11,10.47,87.93,52.34,0
101,Nano,Education,8052,263,23,11,20,7264,8741,5.56,0.0871,0.0424,0.0774,59.26,95.07,6,6.93,85.91,34.63,0
102,Nano,Education,5616,368,31,13,38,8215,16986,8.89,0.0846,0.0365,0.104,91.99,94.0,2,9.2,99.26,45.98,0
103,Mid,Gaming,296553,16079,683,623,816,317648,644619,5.24,0.0425,0.0387,0.0507,61.76,92.16,9,8.9,63.75,44.51,0
104,Micro,Fashion,27727,706,38,49,60,36239,86148,4.94,0.0539,0.0691,0.0843,72.14,66.75,13,3.61,83.74,18.07,0
105,Nano,Education,8843,669,51,16,59,10506,20704,5.68,0.0769,0.0242,0.0876,67.18,77.03,3,3.61,79.28,18.03,0
106,Nano,Gaming,6249,1135,41,88,99,12865,18289,16.81,0.0362,0.0777,0.0871,99.77,66.78,10,12.28,91.3,61.41,0
107,Nano,Fitness,1632,143,14,3,14,3400,5157,14.13,0.0982,0.0212,0.0963,99.06,68.49,14,14.16,100.0,70.79,0
108,Nano,Travel,5895,274,15,11,14,9535,21672,5.51,0.0567,0.0408,0.0515,53.16,47.06,14,5.8,67.14,29.01,0
109,Micro,Travel,46035,3779,35,8,62,63764,149295,11.59,0.0094,0.002,0.0165,29.88,69.61,14,6.56,20.24,32.82,1
110,Nano,Fashion,8693,760,72,41,56,10994,21859,8.14,0.0953,0.0545,0.0731,57.69,53.42,1,7.24,92.84,36.21,0
111,Micro,Tech,47685,2086,66,59,243,80547,197789,7.7,0.0318,0.0281,0.1167,69.93,48.78,12,6.74,59.3,33.69,0
112,Micro,Gaming,65099,8177,279,652,288,127012,314836,13.09,0.0341,0.0797,0.0352,57.6,43.68,3,5.31,69.74,26.55,0
113,Nano,Finance,6448,586,27,19,27,12124,27915,12.47,0.0463,0.0332,0.0456,84.58,77.08,2,7.79,75.41,38.93,0
114,Nano,Travel,2549,222,1,2,1,4624,7494,6.76,0.0062,0.0071,0.0046,19.94,26.69,10,3.77,15.23,18.83,1
115,Nano,Fashion,8380,633,5,1,7,8129,13186,7.91,0.0086,0.0019,0.0103,29.51,25.49,12,6.45,19.62,32.25,1
116,Micro,Fashion,40620,4389,36,7,28,96455,147478,7.49,0.0083,0.0017,0.0063,15.33,25.11,8,5.01,12.31,25.04,1
117,Micro,Fitness,38602,2670,176,162,90,32913,70145,5.59,0.0659,0.0608,0.0338,53.33,71.1,13,5.78,77.84,28.92,0
118,Nano,Lifestyle,1147,231,13,10,18,2518,3246,15.66,0.0548,0.0447,0.0795,99.58,98.24,10,12.34,90.63,61.7,0
119,Nano,Education,7511,479,35,32,42,12427,15590,10.27,0.0731,0.0665,0.088,81.23,62.92,2,7.26,97.09,36.31,0
120,Micro,Fashion,27153,930,2,6,3,37384,71595,6.3,0.002,0.0064,0.0028,30.83,50.82,10,4.41,18.33,22.07,1
121,Micro,Fashion,87811,6867,358,500,366,147455,298875,6.68,0.0522,0.0728,0.0533,74.8,40.76,14,7.96,85.32,39.79,0
122,Micro,Travel,92566,2864,223,73,335,146172,204038,5.09,0.078,0.0255,0.1169,63.47,72.37,12,5.9,78.37,29.51,0
123,Micro,Fitness,13754,2009,150,132,89,21055,25521,10.64,0.0745,0.0657,0.0444,64.88,73.9,1,9.23,89.41,46.13,0
124,Nano,Gaming,6343,805,44,54,64,4500,9851,18.45,0.0549,0.067,0.0799,77.75,83.98,6,12.74,86.42,63.72,0
125,Mid,Gaming,294509,12968,845,356,839,547215,1211818,4.54,0.0651,0.0275,0.0647,83.92,85.38,6,4.35,82.78,21.73,0
126,Micro,Lifestyle,12023,420,27,25,15,20968,40466,3.21,0.0637,0.0585,0.0358,67.77,87.65,4,8.13,83.28,40.67,0
127,Nano,Finance,1161,48,3,3,4,2461,4608,7.38,0.0534,0.0671,0.0937,91.25,69.9,13,7.14,92.45,35.7,0
128,Micro,Fitness,43937,4073,242,237,410,40115,69514,8.11,0.0595,0.0582,0.1007,86.78,99.9,14,7.52,90.59,37.58,0
129,Micro,Fashion,24472,975,86,35,75,30289,73387,7.6,0.0882,0.0364,0.0766,68.11,60.07,10,6.27,89.08,31.34,0
130,Nano,Fitness,8999,421,39,31,42,6413,8173,8.51,0.0933,0.0746,0.1002,96.87,82.36,14,9.57,100.0,47.87,0
131,Micro,Tech,47051,1487,72,52,166,54070,84000,4.04,0.0483,0.0348,0.1116,97.83,44.14,6,7.62,83.52,38.08,0
132,Nano,Tech,6347,364,13,12,35,10707,14630,4.51,0.036,0.0342,0.0959,78.1,60.76,7,5.61,67.34,28.05,0
133,Nano,Music,3539,375,20,14,43,8640,12423,15.35,0.0537,0.0385,0.1152,98.98,48.7,1,9.93,87.88,49.65,0
134,Nano,Fitness,1597,258,2,2,1,3552,6242,12.52,0.0059,0.0065,0.0053,19.1,40.2,5,5.97,14.47,29.86,1
135,Mid,Lifestyle,623375,11092,731,758,791,494662,1099218,3.16,0.0659,0.0684,0.0713,70.59,79.06,7,5.95,88.75,29.74,0
136,Mid,Education,965139,46552,3222,3028,3734,1635452,2162717,3.33,0.0692,0.065,0.0802,82.98,49.7,3,6.91,95.61,34.56,0
137,Mid,Finance,647936,27300,2662,880,2105,788440,1758781,3.3,0.0975,0.0322,0.0771,82.84,89.33,4,5.07,99.84,25.36,0
138,Micro,Education,50846,3619,201,267,164,81999,162157,6.39,0.0554,0.0738,0.0452,72.38,73.47,7,5.25,86.05,26.23,0
139,Nano,Fashion,1612,350,23,27,24,3984,8240,16.67,0.0654,0.078,0.0676,80.76,45.01,13,11.03,96.47,55.13,0
140,Nano,Lifestyle,4864,1031,70,65,60,7530,17079,16.07,0.0679,0.0626,0.0583,86.57,51.24,12,9.41,96.0,47.03,0
141,Nano,Lifestyle,1587,138,13,9,7,2864,5059,9.45,0.0934,0.0644,0.0472,55.65,45.23,6,8.0,93.83,40.0,0
142,Mid,Tech,394746,16092,671,955,1919,327958,426411,3.45,0.0417,0.0593,0.1193,55.32,58.9,3,5.73,66.3,28.67,0
143,Micro,Fashion,97960,8414,704,566,756,114468,272360,6.26,0.0836,0.0673,0.0898,65.2,79.19,11,4.5,94.6,22.48,0
144,Nano,Finance,5596,345,11,27,14,11046,27223,6.7,0.0319,0.078,0.0415,90.12,68.74,3,5.3,84.4,26.51,0
145,Mid,Food,552891,13374,822,443,546,455037,701808,2.13,0.0615,0.0331,0.0408,77.96,77.69,9,5.49,79.66,27.46,0
146,Nano,Music,2762,253,23,8,9,3124,6976,8.39,0.0925,0.0311,0.0371,95.14,91.14,14,8.49,100.0,42.46,0
147,Micro,Gaming,76314,7821,638,403,258,172729,221800,10.37,0.0816,0.0515,0.0329,82.94,55.14,1,6.61,97.74,33.05,0
148,Nano,Fashion,7748,487,18,21,36,14520,35366,6.21,0.0373,0.0431,0.0739,79.58,82.16,2,7.17,71.36,35.87,0
149,Micro,Food,72824,3809,356,131,275,110025,199681,4.74,0.0935,0.0343,0.0723,94.57,40.18,3,6.62,100.0,33.08,0
150,Nano,Travel,6808,688,4,3,4,9628,12109,12.88,0.0052,0.0049,0.0052,11.98,61.67,9,5.5,10.06,27.5,1
151,Nano,Education,5912,474,16,22,54,5896,10064,6.82,0.0331,0.047,0.1136,93.99,74.49,3,9.03,77.68,45.14,0
152,Micro,Lifestyle,82124,2529,8,4,32,158981,214439,5.59,0.0033,0.0015,0.0125,42.85,20.08,14,3.85,23.54,19.25,1
153,Mid,Finance,387139,10369,855,464,914,721476,1698680,3.26,0.0825,0.0448,0.0881,77.48,94.02,13,6.76,93.41,33.8,0
154,Mid,Fashion,512755,11762,56,43,120,891660,1120693,4.48,0.0048,0.0037,0.0102,12.66,46.7,5,4.71,9.82,23.56,1
155,Mid,Education,743294,30761,1516,1181,3107,1117584,2501034,3.53,0.0493,0.0384,0.101,92.28,81.55,3,9.91,82.29,49.56,0
156,Mid,Lifestyle,182279,12075,502,709,411,377579,917757,6.55,0.0416,0.0587,0.034,51.37,63.58,3,4.0,64.11,20.0,0
157,Nano,Finance,8611,711,51,30,35,21342,38207,7.01,0.0724,0.0419,0.0496,53.59,64.58,4,4.68,75.56,23.39,0
158,Nano,Lifestyle,8597,285,25,12,18,13353,23733,5.27,0.0885,0.0422,0.0637,65.66,48.82,2,5.69,89.74,28.45,0
159,Mid,Tech,643088,18784,1263,565,981,1420831,2362901,2.99,0.0673,0.0301,0.0522,98.54,86.41,2,5.56,91.93,27.81,0
160,Nano,Food,1382,90,8,3,9,2795,4445,10.01,0.0872,0.0324,0.1004,58.26,74.98,6,7.07,82.45,35.35,0
161,Micro,Fashion,94754,3616,259,202,223,144523,180563,6.03,0.0715,0.0559,0.0618,92.63,82.65,6,7.13,98.85,35.65,0
162,Mid,Lifestyle,670387,36818,323,232,299,814125,1192034,5.58,0.0088,0.0063,0.0081,15.95,43.13,8,4.43,14.25,22.13,1
163,Micro,Music,61098,3877,280,215,398,95171,237447,6.73,0.0721,0.0555,0.1026,86.29,93.67,8,7.8,95.86,38.98,0
164,Mid,Travel,202239,6985,582,529,229,459019,865432,2.8,0.0834,0.0758,0.0327,51.54,98.29,14,7.32,90.19,36.58,0
165,Micro,Education,27611,1837,183,47,55,21523,35390,9.5,0.0996,0.0254,0.0302,76.43,87.6,5,7.76,95.64,38.79,0
166,Mid,Music,632356,30175,1069,1341,2011,517784,856139,4.83,0.0354,0.0445,0.0666,92.3,76.82,3,7.65,77.2,38.27,0
167,Micro,Gaming,71388,5844,520,202,427,68629,145709,13.36,0.0889,0.0345,0.073,55.05,92.14,8,8.26,82.36,41.3,0
168,Nano,Education,3951,191,14,15,16,5310,10845,6.64,0.0748,0.0787,0.0843,95.31,59.29,6,6.15,100.0,30.75,0
169,Nano,Lifestyle,1182,98,8,7,10,2003,3758,11.13,0.08,0.0694,0.1024,81.24,44.31,13,8.56,100.0,42.79,0
170,Micro,Education,22237,772,51,18,42,43864,56211,6.94,0.0658,0.0228,0.0549,52.72,84.92,2,7.55,66.09,37.74,0
171,Micro,Music,45205,1859,169,101,208,108373,189555,3.86,0.0907,0.0543,0.1116,96.54,89.6,6,7.71,100.0,38.57,0
172,Nano,Fitness,9662,653,6,2,4,9017,18747,8.95,0.0089,0.0026,0.0063,43.77,53.79,9,6.35,27.12,31.77,1
173,Nano,Fashion,8122,945,59,31,60,11092,14065,12.48,0.062,0.0325,0.0632,68.0,97.41,9,10.28,74.78,51.42,0
174,Micro,Music,90769,6312,8,29,118,84080,181463,5.55,0.0013,0.0046,0.0187,39.22,52.39,6,2.98,21.64,14.89,1
175,Micro,Travel,95140,3991,151,203,216,209676,255616,7.52,0.0378,0.051,0.0541,94.51,57.24,5,7.82,81.44,39.12,0
176,Nano,Fitness,9578,662,3,5,6,11312,16807,12.76,0.0046,0.0079,0.0096,20.67,56.24,12,7.53,14.98,37.67,1
177,Macro,Lifestyle,3363162,46207,2335,3068,3540,4461477,7509830,2.65,0.0505,0.0664,0.0766,90.36,47.21,11,6.08,90.36,30.38,0
178,Mid,Education,284626,3862,134,130,202,447244,971270,1.69,0.0346,0.0337,0.0522,89.02,67.48,7,8.36,71.92,41.79,0
179,Micro,Fashion,31607,4418,196,281,379,73105,168240,10.95,0.0443,0.0635,0.0858,82.55,78.68,11,7.55,82.51,37.74,0
180,Mid,Fitness,834275,51613,4105,1225,2233,595768,1203570,4.45,0.0795,0.0237,0.0433,95.87,57.43,11,6.75,94.83,33.75,0
181,Nano,Gaming,2696,284,25,14,22,3988,5013,13.59,0.0865,0.0476,0.0792,75.03,80.78,14,10.02,95.03,50.12,0
182,Mid,Gaming,239883,22142,220,164,435,413839,636238,6.36,0.01,0.0074,0.0196,19.68,68.03,9,6.86,17.04,34.3,1
183,Mid,Travel,401014,9702,765,424,1123,978753,1674286,2.83,0.0789,0.0437,0.1158,50.71,89.76,10,8.05,77.91,40.26,0
184,Nano,Fitness,7976,450,14,19,51,8866,17951,11.01,0.0306,0.0414,0.1134,78.25,86.3,8,9.06,66.87,45.28,0
185,Mid,Education,760327,52963,53,483,208,1887250,4607345,4.99,0.001,0.0091,0.0039,20.15,32.29,1,1.56,13.31,7.78,1
186,Mid,Lifestyle,468226,28198,2142,971,1332,1101656,1467786,7.01,0.076,0.0344,0.0472,89.38,55.06,10,4.73,93.0,23.67,0
187,Mid,Lifestyle,371400,6339,47,38,58,478144,1095694,1.83,0.0075,0.0061,0.0091,15.93,53.98,13,4.0,13.52,20.0,1
188,Mid,Tech,369956,8948,33,57,15,682523,1142312,3.2,0.0037,0.0063,0.0016,45.56,47.23,10,3.63,26.51,18.14,1
189,Mid,Education,462916,16796,141,95,165,361873,570688,4.26,0.0084,0.0056,0.0098,11.91,56.34,13,4.78,11.86,23.92,1
190,Nano,Fashion,7534,973,44,58,94,16779,29354,8.8,0.0457,0.0598,0.0968,61.52,40.09,2,2.73,71.55,13.66,0
191,Mid,Finance,768516,67648,5601,2949,5625,1452361,1890964,5.93,0.0828,0.0436,0.0832,68.55,94.12,10,6.01,88.75,30.03,0
192,Mid,Lifestyle,239784,5452,377,364,511,242124,596630,3.61,0.0692,0.0668,0.0938,68.09,96.95,8,7.18,88.7,35.89,0
