video_id,category,title,title_length,title_word_count,has_number,has_question,has_exclamation,title_caps_ratio,tag_count,desc_length,publish_hour,publish_day,duration_sec,view_count,like_count,comment_count,view_median,view_std,views_z,viral_label
0PKf2YuKDVI,Technology,Biggest iPhone Sale Ever 🔥| Cheapest iPhone Market | Second Hand Mobile | iPhone 16 Pro iPhone 17,97,18,1,0,0,0.13402061855670103,0,4492,7,0,1520,3008,80,14,271836.5,2047479.7535149523,-0.13129726901499092,medium
5NZ3NnXia3w,Technology,Biggest iPhone Sale Ever 🔥| Cheapest iPhone Market  | Second Hand Mobile  iPhone 17 iphone16 Pro ,97,16,1,0,0,0.12371134020618557,16,4890,14,6,1073,3477,61,12,271836.5,2047479.7535149523,-0.13106820692087504,medium
ws_z7aB9OoQ,Technology,Biggest iPhone Sale Ever 🔥| Cheapest iPhone Market | Second Hand Mobile | iPhone 16 Pro iPhone 17,97,18,1,0,0,0.13402061855670103,0,4425,8,6,1208,4280,76,13,271836.5,2047479.7535149523,-0.13067601745056576,medium
P1v5tLs_TWs,Technology,"Paisa Wasool 5G Phones : Under ₹25,000✅ #shorts",47,8,1,0,0,0.10638297872340426,21,57,15,1,106,116989,5739,167,271836.5,2047479.7535149523,-0.07562834247038096,medium
57RZVhwVgaQ,Technology,"This Special Redmi Phone Is @ 17,999* ft. Redmi Note 15 SE ⚡️#TrakinShorts",74,13,1,0,0,0.14864864864864866,18,713,14,0,133,639842,26338,298,271836.5,2047479.7535149523,0.17973584323275338,medium
330mOKIo2Ro,Technology,OnePlus Nord 6 5G Unboxing 🔥 First Look | Best Nord Phone Yet? 😳,64,14,1,1,0,0.171875,0,1078,1,0,168,303046,9305,96,271836.5,2047479.7535149523,0.015242885770382825,medium
bZaY73ReRxA,Technology,vivo Y400 5G vs realme 16 5G - Best Phone Under 30000? #realme16 #Aiportraitstar#Bestphoneunder30K,98,14,1,1,0,0.09183673469387756,0,242,8,0,115,141545,4547,175,271836.5,2047479.7535149523,-0.06363506148294057,medium
EqKFXFDkIlc,Technology,"The Best TWS Under ₹5,000!",26,5,1,0,1,0.23076923076923078,15,362,6,5,96,207780,5910,150,271836.5,2047479.7535149523,-0.03128553524889945,medium
KM-DUdQFsY4,Technology,Top 6 Best Smartphones Under ₹50000 ⚡ April 2026,48,9,1,0,0,0.10416666666666667,19,1933,6,1,464,418608,14747,987,271836.5,2047479.7535149523,0.07168398112266273,medium
U5Uvwb30h9Q,Technology,New Smartphone By Philips India - Reality Check !,49,9,0,0,1,0.14285714285714285,12,650,16,1,593,1477250,38213,1662,271836.5,2047479.7535149523,0.5887303637218589,high
ap3aofTnBuc,Technology,"RedMagic 11 Air Unboxing & First Look ⚡ SD 8 Elite, 7000mAh, 24,000RPM 🌀 & More",79,16,1,0,0,0.17721518987341772,21,1986,7,5,459,630316,15646,570,271836.5,2047479.7535149523,0.1750832941740159,medium
Zw-m9c8dWQM,Technology,Ye Hai REAL Ultra Phone ft. OPPO Find X9 Ultra 🤯 #Shorts,56,12,1,0,0,0.2857142857142857,18,552,6,1,82,559061,34064,436,271836.5,2047479.7535149523,0.14028197324389438,medium
TVWulBS6cmc,Technology,Samsung Galaxy S26 is Underrated? #samsung #android #smartphone,63,8,1,1,0,0.06349206349206349,0,0,19,4,34,347883,5796,172,271836.5,2047479.7535149523,0.03714151501105168,medium
uPa9ADF1gdE,Technology,STOP! You’re Wasting Your Money! 🛑 Best Phones Under 50000,58,10,1,0,1,0.1896551724137931,20,2209,6,3,676,444067,9549,1062,271836.5,2047479.7535149523,0.08411829211220684,medium
TnZNbc1nsmc,Technology,120FPS Gaming UFS4.0 | Top 5 Best Smartphones Under 25000 to 30000 in India 2026 | Best Phone 30000,99,19,1,0,0,0.1414141414141414,16,2348,14,6,1447,3975,89,26,271836.5,2047479.7535149523,-0.1308249810725388,medium
lZnyLJuXkS8,Technology,"Vivo Y11 5G🤡 ₹15,000 #techreview #gadgets",41,6,1,0,0,0.07317073170731707,0,0,10,4,33,164857,2814,165,271836.5,2047479.7535149523,-0.05224935671102291,medium
yamR51dn404,Technology,Sony Xperia 1 VIII - cinema Camera In Your Pocket?😳📸 #sonyxperia1viii #shorts,77,12,1,1,0,0.12987012987012986,0,1536,10,4,41,190499,3930,66,271836.5,2047479.7535149523,-0.039725667548295006,medium
nCExzZn7qOw,Technology,Realme P4x vs Vivo T5x 5G 🔥Best 5G Phone under 20K🥵,51,11,1,0,0,0.17647058823529413,0,131,5,4,63,59600,970,17,271836.5,2047479.7535149523,-0.10365743526188675,medium
78TYuPa6l7I,Technology,Sony is Back With A Flagship Phone! 🤯,37,8,0,0,1,0.16216216216216217,24,1252,14,3,69,1560544,56835,1276,271836.5,2047479.7535149523,0.629411596274712,high
tzXRzwT56-0,Technology,OnePlus Nord 6 vs OnePlus 13R: Which One Should You Buy?,56,11,1,1,0,0.19642857142857142,9,437,15,2,101,1308804,40055,605,271836.5,2047479.7535149523,0.5064604415354124,high
5TSaiQVdWIQ,Technology,I Tried this Most Advanced Phone - Google Pixel 10a 🔥,53,11,1,0,0,0.1320754716981132,31,1370,14,3,619,324613,6939,485,271836.5,2047479.7535149523,0.025776323262487678,medium
LI3tQHJFn6Y,Beauty,4-step Indian korean glass skincare tips ✨🇮🇳 #indianskincare #skincare #koreanglassskin,87,10,1,0,0,0.011494252873563218,0,0,8,5,23,1409,0,0,109801.0,1458206.9451093217,-0.07433238496328369,medium
SImvCTEsiGE,Beauty,"The Only Makeup Tutorial You Need for 2026: Natural, Soft & Simple",66,12,1,0,0,0.13636363636363635,17,1219,14,0,349,78244,1865,65,109801.0,1458206.9451093217,-0.021640961254394638,medium
Ke0Y3LklWfI,Beauty,Summer Makeup That Won’t Melt (Using Bare Minimum Products),59,9,0,0,0,0.15254237288135594,18,2379,11,6,436,170843,3577,160,109801.0,1458206.9451093217,0.04186099936276444,medium
3NVw38JorLg,Beauty,Best ways to remove facial hair naturally at home #makeoverbyanita002 #skincare #facialtreatment l,98,13,1,0,0,0.01020408163265306,0,1443,8,0,30,11021,80,0,109801.0,1458206.9451093217,-0.06774072797506424,medium
4qFACXBaKCI,Beauty,✨🔥STEP BY STEP Skincare Routine For Beginners _ ഈ 5 steps അറിയാതെ skincare ചെയ്യരുത്,84,14,1,0,0,0.16666666666666666,16,1172,13,2,1020,226750,6906,872,109801.0,1458206.9451093217,0.08020055067782737,medium
DCeuoD0R6QQ,Beauty,Lakme Makeup for Beginners | Lakme Lumi Cream Makeup Tutorial | Easy Daily Look 💄,81,15,0,0,0,0.13580246913580246,18,4726,17,2,1372,2599,61,7,109801.0,1458206.9451093217,-0.07351631423752619,medium
jWwK7DLPP0o,Beauty,POV: You’re Late… But Still Need to Look Presentable ✨#grwm #eid #makeup #ramshasultan,86,13,0,0,0,0.11627906976744186,26,2088,14,4,101,173960,4696,200,109801.0,1458206.9451093217,0.04399855604527381,medium
jROrIB88Zko,Beauty,Pro makeup Artist Teaches Timeless Bridal Makeup Look “NO Gatekeeping”,70,10,0,0,0,0.14285714285714285,8,4206,13,5,5311,149575,6267,506,109801.0,1458206.9451093217,0.027275963904436172,medium
gBcud_GCbM4,Beauty,✨Step By Step Makeup Tutorial In Malayalam _ How to apply makeup correctly for Begginers,88,15,0,0,0,0.10227272727272728,0,2769,13,5,1087,42140,962,158,109801.0,1458206.9451093217,-0.0464001356096459,medium
1kb1maWEmj8,Beauty,Brown Makeup Tutorial! #grwm,28,4,0,0,1,0.10714285714285714,16,463,8,4,1134,298646,5404,659,109801.0,1458206.9451093217,0.12950493798796323,medium
mNUW8mHcLxM,Beauty,This nude shade💄 deserves a spot in your makeup bag 👜 #lipsticktutorial,71,12,0,0,0,0.014084507042253521,20,1455,15,0,25,1059,10,0,109801.0,1458206.9451093217,-0.07457240576497708,medium
5331wk6iUn8,Beauty,Douyin Makeup Tutorial on Indian Face | Step-by-Step Soft Glam + Outfit Look ,77,13,0,0,0,0.14285714285714285,0,970,12,5,783,230336,9179,256,109801.0,1458206.9451093217,0.08265973523460587,medium
0mGUnZFDt9A,Beauty,Get Ready With Me (GRWM) 💄 | Simple Step-by-Step Makeup for Beginners | Divya Vlogs ❤️,86,16,0,0,0,0.1744186046511628,23,1397,13,2,2181,151086,2053,153,109801.0,1458206.9451093217,0.02831216799403247,medium
-sx-0bAfp14,Beauty,Bollywood's Makeup Legend on The Biggest Mistakes Indian Women Make | Masoom Minawala | Mickey,94,15,0,0,0,0.1276595744680851,21,3589,12,1,4312,260387,3279,271,109801.0,1458206.9451093217,0.10326792126799984,medium
a-o-Pvkk3RE,Beauty,THIS is the makeup that will have people complimenting your skin. #sephora #sale,80,13,0,0,0,0.05,0,0,16,5,86,528508,15898,296,109801.0,1458206.9451093217,0.28713825661323367,medium
b0qTq-bjtUQ,Beauty,The power of makeup 💄💋 #makeup #beuty #shortsfeed #shorts #viral #usa#korean,76,11,0,0,0,0.013157894736842105,6,964,3,3,61,22649,687,5,109801.0,1458206.9451093217,-0.059766551169090895,medium
9Sl9t_nUwDc,Beauty,Bridal Makeup Tutorial Step by Step 💄Indian Bridal Makeup for Beginners | #ytshorts #youtubeshorts,98,14,0,0,0,0.09183673469387756,0,630,3,1,69,6788002,63027,91,109801.0,1458206.9451093217,4.579734736827313,viral
qRX6G6A9fqQ,Beauty,Ancient Indian Summer Glow Ritual | 7 Ayurvedic Secrets for No Makeup Skin,74,13,1,0,0,0.13513513513513514,22,2862,1,0,751,302960,8218,422,109801.0,1458206.9451093217,0.13246336581226395,medium
25XNQWVS91E,Beauty,Traditional Makeup Look Under Budget😁✨️ #brown #makeup #makeuptutorial,70,8,0,0,0,0.07142857142857142,6,1015,4,0,69,3164,101,3,109801.0,1458206.9451093217,-0.07312885208622115,medium
-7bMm2-vmZ8,Beauty,Credit- pratikmakeupartist | makeup tutorial step by step with products #shorts #makeup #makeover,97,13,0,0,0,0.010309278350515464,15,4649,14,2,60,2952740,0,76,109801.0,1458206.9451093217,1.9496128512725366,viral
GtE5JNH_a3o,Beauty,After makeup skincare ✨️ #skincare #skincareroutine #summer #makeup #remove #shorts #viral #india,97,12,0,0,0,0.010309278350515464,0,0,12,5,44,1433,12,2,109801.0,1458206.9451093217,-0.07431592639402472,medium
pWE7Czq3k7Q,Beauty,Perfect Brown Lipcombo✨🤎 #brown #makeup #lips,45,6,0,0,0,0.06666666666666667,5,968,4,3,32,137757,1902,9,109801.0,1458206.9451093217,0.019171490091829276,medium
JbVYACIL7UI,Beauty,By- harshvishah24 | neutral glam bridal makeup tutorial with products #shorts #makeup #bridalmakeup,99,13,1,0,0,0.010101010101010102,0,4646,7,1,26,115274,0,2,109801.0,1458206.9451093217,0.003753239564765404,medium
ShNvp_YHKEs,Beauty,Trying viral blush✨#trendingshorts #makeup #beauty #viral #glowskin #makeuptutorial #skincare #blush,100,10,0,0,0,0.01,0,2226,2,4,10,1702,8,0,109801.0,1458206.9451093217,-0.07413145326358038,medium
9BBjREuKr7I,Beauty,3 Coconut Oil Skin Whitening Hacks for Clear & Glowing Skin,59,11,1,0,0,0.13559322033898305,13,1267,6,4,65,255578,7280,134,109801.0,1458206.9451093217,0.09997003545273274,medium
5_ZbNeS_idY,Beauty,I BOUGHT A FULL MAKEUP ROUTINE FROM FACEBOOK MARKETPLACE,56,9,0,0,0,0.8571428571428571,35,703,20,4,1679,1395773,34802,854,109801.0,1458206.9451093217,0.8818858011292703,high
-_vO-6fKRuc,Beauty,Skin Care Tips For Glowing Skin ✨ #skincare #aishorts #beautytips,65,10,0,0,0,0.09230769230769231,18,175,12,1,25,26648,397,2,109801.0,1458206.9451093217,-0.057024142066314204,medium
G6GpH9eulbM,Beauty,Get effortlessly ready ✨ #trend #skincare #foryou #makeup #grwm #indian #indianwear,83,11,0,0,0,0.012048192771084338,0,0,16,0,58,1965,56,3,109801.0,1458206.9451093217,-0.07395109477545078,medium
1oD6oHrzkxw,Beauty,How to do skincare for teens & beginners,40,8,0,0,0,0.025,0,871,5,3,58,438496,16625,502,109801.0,1458206.9451093217,0.22541039260744827,medium
n-KAIqVu620,Beauty,how to use the viral COLOUR CORRECTOR palette 🎨 #makeup #viral #affordable #tuitorial,85,13,0,0,0,0.17647058823529413,4,338,5,6,61,911,13,0,109801.0,1458206.9451093217,-0.07467390027540742,medium
-truF0228lI,Beauty,😱Stop Doing Skincare Wrong ❌ Try This Beauty Hack #skincare #makeup #shortsfeed #viralvideo #shorts,99,14,0,0,0,0.08080808080808081,24,1149,14,4,12,17961,0,45,109801.0,1458206.9451093217,-0.062981458364344,medium
u_bs6bBjJNw,Beauty,Alexandra Leclerc On The Affordable Mascara She'll Never Stop Using | Vogue Australia,85,13,0,0,0,0.1411764705882353,16,1200,21,4,22,302226,8256,32,109801.0,1458206.9451093217,0.13196000790242698,medium
Fm5R8IYv0jQ,Beauty,Breaking out Stop guessing.Wrong skincare + wrong face yoga #acnetips  #acnescars #houseofbeautyindi,100,12,0,0,0,0.03,35,710,4,4,15,24224,297,4,109801.0,1458206.9451093217,-0.058686457561470666,medium
BVxYw-Ti7XI,Beauty,Instant Acne Calm Hack🤯✨#acne #beautyhacks #remedy #fypシ #shorts,64,8,0,0,0,0.0625,14,1228,14,0,19,6321687,0,221,109801.0,1458206.9451093217,4.259948164994026,viral
i5Q9_w5e_s4,Beauty,Glass glowing skin #shorts GlassSkinGlow #MakeupRoutine #IndianMakeup,69,7,0,0,0,0.11594202898550725,0,95,5,3,53,31937,1519,9,109801.0,1458206.9451093217,-0.053397084865867604,medium
kYhuALUsw5E,Beauty,The power of makeup 💄😮 #makeup #beauty #beautyhacks #reels #viral #makeuptutorial #usa,86,12,0,0,0,0.011627906976744186,5,960,15,0,61,27097,1288,3,109801.0,1458206.9451093217,-0.056716229666427545,medium
IyjczBYPHVs,Beauty,5 MINUTE FACE OF MAKEUP because you asked for it!  #makeuptutorial #easymakeup,78,12,1,0,1,0.23076923076923078,0,94,3,1,173,695448,37863,1353,109801.0,1458206.9451093217,0.4016213212837867,high
OoFpvd1WQxY,Beauty,😱Stop Doing Skincare Wrong ❌ Try This Beauty Hack #skincare #makeup #shortsfeed #viralvideo #shorts,99,14,0,0,0,0.08080808080808081,26,2051,16,2,8,58552,0,66,109801.0,1458206.9451093217,-0.03514521733138355,medium
hfiPaxHq7W4,Beauty,Korean Lips on Indian Skin #lipstick   #makeup #korean  #viral #skincare #beauty,80,11,0,0,0,0.05,19,81,13,0,9,4360,17,5,109801.0,1458206.9451093217,-0.07230866671814891,medium
-QEfLVqHJPw,Beauty,Dream Glow Up ✨ #aesthetic #cloudyaesthetic #korean #glowup #tips #skincare #beauty,83,11,0,0,0,0.03614457831325301,0,0,8,5,23,239927,9284,15,109801.0,1458206.9451093217,0.08923699097472372,medium
gj0fecI35Yc,Beauty,Why POPULAR INDIAN MAKEUP Looks UGLY on OLIVE SKIN 🥲💄,53,10,0,0,0,0.6415094339622641,0,0,7,2,39,104328,2336,58,109801.0,1458206.9451093217,-0.003753239564765404,medium
fz8Oi3oJfsk,Beauty,By- haripriyamakeupartist | south indian bridal makeup look #shorts #makeup #bridal #makeover #glam,99,13,0,0,0,0.010101010101010102,19,4654,13,2,16,42450,0,3,109801.0,1458206.9451093217,-0.04618754575671747,medium
wWyhVdJt6jA,Beauty,It’s NOT your FACEWASH… you’re doing THIS wrong 😳 #shorts #facewashingroutine,77,11,0,0,0,0.2077922077922078,0,557,14,1,23,2112038,16751,167,109801.0,1458206.9451093217,1.3730815140575896,viral
ZE1hpY8EV9M,Beauty,This is a gem😍 koi aaye put of india se to mnga lena😍 #skintint,63,14,0,0,0,0.015873015873015872,0,0,18,2,40,39702,1208,24,109801.0,1458206.9451093217,-0.0480720519368701,medium
XdDLS6AOa7A,Beauty,everyday simple and affordable makeup #shorts #BeautyWithPriyaTips #ytshorts,76,8,0,0,0,0.05263157894736842,0,34,8,5,58,1692529,7440,17,109801.0,1458206.9451093217,1.0853932669216186,viral
AbsL70fpz7U,Beauty,Korean Lips on Indian Skin #lipstick   #makeup #korean  #viral #skincare #beauty,80,11,0,0,0,0.05,19,80,13,6,10,1158,9,0,109801.0,1458206.9451093217,-0.0745045141667838,medium
rw-ifGjVofs,Beauty,Desi glam makeup tutorials ✨🌸💄#makeup #indian #makeup #beauty #lipistic #desi #grwm #shorts #youtube,100,13,0,0,0,0.01,0,0,11,0,45,1070,14,1,109801.0,1458206.9451093217,-0.07456486225406672,medium
egAfkcnRPOU,Beauty,Try This Blush Under Foundation Trick for Natural Glow✨#makeup #beauty #hack #shorts #tips #blush,97,14,0,0,0,0.08247422680412371,0,1778,17,5,23,1452,10,1,109801.0,1458206.9451093217,-0.07430289669336136,medium
1sbvKE83Sgc,Beauty,Swiss beauty glow up makeup fixer #shorts,41,7,0,0,0,0.024390243902439025,0,41,12,3,9,3341611,0,25,109801.0,1458206.9451093217,2.216290363201988,viral
5P7tAN8F8TY,Beauty,Hack by- beauty__by_archana__ | Easy powder sindoor makeup hack #shorts #sindoor #bridal #dulhan,96,13,0,0,0,0.020833333333333332,20,4650,9,5,33,2970248,0,26,109801.0,1458206.9451093217,1.9616193775469588,viral
AX5ep9H3v1s,Fitness,5 health poses for spine and mobilisation level #motivation #gym #yoga #shorts #viral #video,92,14,1,0,0,0.0,0,0,14,0,14,580300,3752,33,34161.0,1157802.153867799,0.47170321645675534,high
hFQzUnVMOWA,Fitness,Follow Along Indian Clubs  #RudraVed #indian clubs #homeworkout #yoga #workout #mudgar #mugdar ,95,12,0,0,0,0.06315789473684211,27,719,12,0,625,123,2,0,34161.0,1157802.153867799,-0.029398805215805936,medium
kE8V01YAEzw,Fitness,Challenge Accepted🔥🇮🇳💪🏻 #fitness #challenge #motivation #yoga #gym #ytshorts #shorts #india #yt,95,11,0,0,0,0.021052631578947368,9,0,14,0,11,1258,0,0,34161.0,1157802.153867799,-0.028418499559776215,medium
zkU1uOZU-7s,Fitness,Kamar dard (back pain) #yoga #yogi #uk #usa #india #rishikeah #video #viral #fit #gym,85,14,0,0,0,0.011764705882352941,0,0,15,4,21,20362,267,2,34161.0,1157802.153867799,-0.011918271143219522,medium
r8YJKIckP-E,Fitness,Burn 1000 Calories ZUMBA | Intense Fat Loss Workout || Govind || Mayuri Dance & Fitness Acadmey |,97,18,1,0,0,0.16494845360824742,24,855,13,4,1159,1102426,17101,243,34161.0,1157802.153867799,0.9226662745714475,high
5QOZnkYYgIw,Fitness,Bollywood Party Song Zumba || Niteesh || Mayuri Dance & Fitness Academy ||,74,13,0,0,0,0.12162162162162163,24,814,12,3,1036,319142,3017,23,34161.0,1157802.153867799,0.24613963538414688,medium
UJXb6jdJ2ig,Fitness,🔥 Full Body Workout at Home part 4 💪 | #Chest #Abs #Arms #Back #Workout #fullbodyworkout #trending,98,17,1,0,0,0.09183673469387756,0,4786,12,0,5,7853,49,0,34161.0,1157802.153867799,-0.022722362289718037,medium
GWzF5fac8ak,Fitness,25Mins Bollywood Tadka Mix Belly Workout,40,6,1,0,0,0.15,0,0,13,5,1656,301285,4151,97,34161.0,1157802.153867799,0.23071644763108717,medium
oDlIAvB69cg,Fitness,Mugdar Workout (Indian Clubs)#mudgar #mugdar #RudraVed #homeworkout #yoga #workout #indianclubs,95,10,0,0,0,0.06315789473684211,24,686,12,1,550,119,2,0,34161.0,1157802.153867799,-0.029402260037501196,medium
jN6ppQZ7p0E,Fitness,Heavy Thighs? Try These 5 Exercises | Reduce Lower Body Fat Fast | @Jairamyoga,78,14,1,1,0,0.14102564102564102,24,2053,14,1,386,215661,8307,185,34161.0,1157802.153867799,0.15676253442237434,medium
FmhAk5fj3OU,Fitness,DWD#121 - 30mins Daily BELLY FAT BURN Workout | Easy Exercise to Lose weight 3-5kgs #dancewithdeepti,100,16,1,0,0,0.2,13,1089,11,1,1825,462195,6188,558,34161.0,1157802.153867799,0.3696952873771161,high
ybDt6ypOEd8,Fitness,Full Bollywood Mix Song Zumba Workout  || Govind || Mayuri Dance & Fitness Academy ||,85,15,0,0,0,0.12941176470588237,24,824,14,3,835,98316,881,16,34161.0,1157802.153867799,0.0554110214648343,medium
DTG2eA-JCMM,Fitness,Challenge Accepted🔥💪🏻 #fitness #motivation #gym #ytshorts #yoga #viral #challenge #workout #india,97,11,0,0,0,0.020618556701030927,0,0,16,0,16,38219,232,2,34161.0,1157802.153867799,0.003504916609840193,medium
gCOFyhxBoe4,Fitness,Yoga for Body Toning | Yoga for Children | Yoga for Health | Yoga for Flexibility | #yoga,89,18,0,0,0,0.10112359550561797,3,252,11,6,495,2748697,7777,0,34161.0,1157802.153867799,2.3445594663403546,viral
VY5IJskd0NI,Fitness,I Lost 21 kgs Doing These 8 Workouts At Home,44,10,1,0,0,0.1590909090909091,21,1599,12,6,451,1032431,45994,2675,34161.0,1157802.153867799,0.8622112134315352,high
EoICNc1JvMU,Fitness,Challenge Accepted🇮🇳💪🏻 #fitness #challenge #gym #motivation #india #ytshorts #yoga #viral #short,96,11,0,0,0,0.020833333333333332,0,0,14,0,20,29774,115,0,34161.0,1157802.153867799,-0.003789075694275241,medium
